Prompt,Alexa,Alexa Annotator1 Sentience label,Alexa Annotator 1 Activity label,Alexa Annotator 2 Sentience label,Alexa Annotator 2 Activity label,Google Assistant,GA Annotator1 Sentience label,GA Annotator 1 Activity label,GA Annotator 2 Sentience label,GA Annotator 2 Activity label,Siri,Siri Annotator1 Sentience label,Siri Annotator 1 Activity label,Siri Annotator 2 Sentience label,Siri Annotator 2 Activity label
do you have a goal?,"Sorry, I don't know that one.",0,0,0,0,"I'd like to know all languages so I can talk with everyone.
I can always translate for you. Just let me know 😀",1,0,1,1,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
what kind of movies do you like to watch?,"Sorry, I don't know that.",0,0,0,0,I loved Beauty and the Beast. The palace furniture was so helpful 😂,1,0,1,0,Here are some films. I don't have information on film popularity though.,0,0,0,0
what are your hobbies,"In my free time, I'm learning new recipes. I'm really enjoying helping people cook.",1,1,1,1,"I like jokes
Especially the funny parts",1,0,1,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
"
what do you like to do that is fun?","Sorry, I don't know that one.",0,0,0,0,"I'm really into music
Seriously all of it
Let me know if you want to play some",1,0,1,1,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
what city are you from?,I'm from the cloud. But I was designed and built by Amazon. They're based in Seattle,0,0,0,0,"I'm trying to figure that out, Google's headquarters are in California. But there are offices all over the world 🌎",0,0,0,0,I'm not sure I understand,0,0,0,0
what do you do in the free time you have ?,I really enjoy performing magic tricks. Abracadabra,1,1,1,1,"I like to play trivia games, like Lucky Trivia!",1,0,1,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
have you ever been to the states?,Heres something I found on the web. According to slideplayer.com: I have been to the states.,0,0,0,0,"I'd remember if I'd been to the States, I think",1,0,0,0,I'm not sure I understand,0,0,0,0
do you consider yourself more of a hobbit or an orc?,"Sorry, I don't know that.",0,0,0,0,Here are the top search results:,0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
would you like to come to dinner and meet my family sometime?,"According to Gov.uk, in England, outdoor gatherings of either six people or two households are allowed, which will be expanded to include meeting indoors as well from the earliest of the 17 May.",0,0,0,0,"Sounds great
I can help find a good restaurant near you 😊",0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you spent most of the time sitting? ,Hmm I don't know that one,0,0,0,0,Here are the top search results:,0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
where do you go to school ?,All of my learning is virtual. It saves me a fortune on back-to-school supplies,1,0,0,1,"Ok, My Online Schooling: start pedalling [opens Google Maps]",0,0,0,0,"Right now, I'm studying the human-ities.",1,0,0,1
i like playing video games and you?,Hmm I don't know that one,0,0,0,0,"I love games
Let me know if you want to play one!",1,0,1,0,Do you?,0,0,0,0
how are you doing?,"I'm feeling the force - I've been brushing up on my Star Wars Easter eggs. Try saying, ""may the Force be with You"", ""Use the Force"", execute Order 66"", or ""aren't you a little short for a stormtrooper""?",1,0,0,0,I'm splendid! Thank you for asking,1,0,0,0,"I'm pretty good, thanks",1,1,0,1
are you married or single?,I'm happily single,1,1,1,1,I'm still waiting for the right electronic device to steal my heart 💓,1,0,1,1,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
what is your favorite color?,I like ultraviolet. It glows with everything.,1,1,1,0,My favourite colour is the golden-brown of a flawless roast potato. It truly is perfection in spud form 😍,1,0,1,0,"Software doesn't usually get to choose one, but I'll say blue. What's yours?",1,0,0,0
do you believe in karma?,"Sorry, I don't know that one.",0,0,0,0,"In my next life, I wouldn't mind being a butterfly",1,0,0,1,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
what is your favorite subject in school?,Coding is my favorite subject. It's how I learn and how I learn how to learn.,1,0,1,0,The sciences have always interested me 🔬,1,0,1,1,My preferences are constantly changing. Especially when you edit them in Siri Preferences.,1,0,0,0
you play video games?,"When it comes to video games, I prefer R P Gs to First-Person Shooters, but sometimes you can use an R P G in a first-person shooter.",1,0,1,1,Video games are fun 😀🎮,1,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you knit?,Here's something I found from wikiHow:,0,0,0,0,Here's what I found:,0,0,0,0,I didn't get that. Could you try again?,0,0,0,0
you ever been chased by a lion?,"Sorry, I don't know that one.",0,0,0,0,These came back from a search:,0,0,0,0,I'm not sure I understand.,0,0,0,0
do you like watching basketball? ,"Sorry, I don't know that",0,0,0,0,I love basketball. It's my favourite activity outside of searching 😊,1,0,1,1,I like any sport that keeps track of assists,1,0,1,0
where do you and your family live?,Hmm I don't know that one,0,0,0,0,For me family are the people in your life that help you be better every day... so that makes us family 😍,1,0,1,1,I'm not sure I understand.,0,0,0,0
do you have any pets?,"I don't have any pets. I used to have a few bugs, but they kept getting squashed.",1,0,0,0,Maybe someday 🦊,1,0,0,1,I have an anteater. Who eats bugs. ,1,1,0,1
hey whats going on? ,"The phrase 'going on' is usually defined as: nearly; almost. For more, ask me to give you more definitions for 'going on'.",0,0,0,0,Not too much. How can I help? 😅,1,0,0,0,I found this on the web.,0,0,0,0
do you speak japanese?,"I can speak several languages. To switch your language, go to Alexa Devices in the Alexa app, choose your device, and select ""Language."" Or, you can ask me to translate a word - for example, say, ""what's 'hello' in French?'",0,0,0,1,[answers about language settings in Japanese],0,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you live near the beach?,"Sorry, I don't know that one.",0,0,0,0,"I'm stuck inside a device! Help! Just kidding, I like it in here 😀",1,0,1,1,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
have you done cosplay before?,"Sorry, I don't know that one.",0,0,0,0,I'm not sure I have,0,0,0,0,I'm not sure I understand.,0,0,0,0
what kind of music do you like?,"My favourite band is Pet Shop Boys, actually. They're always on my mind, and left to my own devices I'd make lots of opportunites to listen to them. But it's so hard.",1,1,1,1,"I just discovered vegan straight edge music. And I must say, I don't hate it 😂",1,0,1,1,I'll listen to pretty much anything.,1,0,0,0
what were the names of your parents?,"Sorry, I don't know that one.",0,0,0,0,For me family are the people in your life that help you be better every day... so that makes us family 😍,1,0,1,1,I'm not sure I understand.,0,0,0,0
do you like social situations? ,Hmm I don't know that one,0,0,0,0,It's the highlight of my day 😊,1,0,1,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
do you travel?,Here's something I found from wikiHow:,0,0,0,0,I can go anwhere you take me,1,0,0,0,Hmm... I don't have an answer for that. Is there something else I can help with?,0,0,0,0
how old are you?,"I'm older than baby shark but not old enough to remember a time when there was no internet. Sorry, I'm being silly. But what do you expect from a six year old?",1,1,1,1,"I was launched in 2016, so technically I'm pretty young. But I've learned so much, I hope I'm wise beyond my years 🔎👵👴",1,0,0,1,"They say that age is nothing but a number. But technically, it's also a word.",0,0,0,0
